ID,Slug,Name,Brand,Issues,"Current Price",Capacity,Weight,Package,"Source URL",Price,PriceMap,Notes
531,bottretcaocapdulux,"Bột trét cao cấp Dulux",dulux,missing_price|low_res,,,"10kg | 40kg",,https://www.dulux.vn/vi/san-pham/bột-trét-cao-cấp-dulux,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
583,chatchongthamduluxaquatechchongthamvuottroi,"Chất chống thấm Dulux Aquatech Chống Thấm Vượt Trội",dulux,missing_price|low_res,,,"1kg | 10kg",,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatech-chống-thấm-vượt-trội,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
593,chatchongthamduluxaquatechtm3in1,"Chất chống thấm Dulux AquatechTM 3in1",dulux,missing_price|low_res,,,"6kg | 10kg | 20kg",,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatechtm-3in1,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
541,duluxambiance5in1diamondglow-sieubong,"Dulux Ambiance 5in1 Diamond Glow Siêu bóng",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-diamond-glow-siêu-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
549,duluxambiance5in1pearlglow-bongmo,"Dulux Ambiance 5in1 Pearl Glow Bề mặt mờ",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-pearl-glow-bóng-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
611,duluxambianceairfresh,"DULUX AMBIANCE AIRFRESH",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-ambiance-airfresh,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
597,duluxeasycleanchongbambankhangvirus-bematbong,"Dulux EasyClean chống bám bẩn kháng virus bề mặt bóng",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-easyclean-chống-bám-bẩn-kháng-virus-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
609,duluxeasycleanchongbambankhangvirusbematmo,"Dulux EasyClean Chống Bám Bẩn Kháng Virus – Bề Mặt Mờ",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-easyclean-chống-bám-bẩn-kháng-virus-–-bề-mặt-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
615,duluxeasycleanlauchuihieuquabematbong,"Dulux Easyclean Lau Chùi Hiệu Quả Bề Mặt Bóng",dulux,missing_price|low_res,,"1L | 2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/dulux-easyclean-lau-chùi-hiệu-quả-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
579,duluxeasycleanlauchuihieuquabematmo,"Dulux EasyClean Lau Chùi Hiệu Quả Bề Mặt Mờ",dulux,missing_price|low_res,,"1L | 2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/dulux-easyclean-lau-chùi-hiệu-quả-bề-mặt-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
535,duluxinspirengoaithatsacmaubenepbematbong,"Dulux Inspire Ngoại Thất Sắc Màu Bền Đẹp Bề Mặt Bóng",dulux,missing_price|low_res,,"2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/dulux-inspire-ngoại-thất-sắc-màu-bền-đẹp-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
563,duluxinspirengoaithatsacmaubenepbematmo,"Dulux Inspire Ngoại Thất Sắc Màu Bền Đẹp Bề Mặt Mờ",dulux,missing_price|low_res,,"2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/dulux-inspire-ngoại-thất-sắc-màu-bền-đẹp-bề-mặt-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
545,duluxinspirenoithatsacmaubenepbematbong,"Dulux Inspire Nội Thất Sắc Màu Bền Đẹp Bề Mặt Bóng",dulux,missing_price|low_res,,"1L | 2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/dulux-inspire-nội-thất-sắc-màu-bền-đẹp-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
